id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
1046722,Ultimate Photoshop Training: From Beginner to Pro,https://www.udemy.com/ultimate-photoshop-training-from-beginner-to-pro/,TRUE,200,5326,447,150,Beginner Level,11.5 hours,2017-01-12T16:56:22Z,,,,,
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,https://www.udemy.com/photoshop-for-entrepreneurs/,TRUE,200,36288,737,63,All Levels,5 hours,2016-06-09T01:57:03Z,,,,,
62721,Anatomy for Figure Drawing: Mastering the Human Figure,https://www.udemy.com/anatomy-for-figure-drawing-and-comics/,TRUE,95,15500,754,65,All Levels,68.5 hours,2013-10-16T11:37:30Z,,,,,
371074,Sketch 3 from A to Z: Become an App Designer,https://www.udemy.com/learnsketch3/,TRUE,75,7282,1629,42,All Levels,3.5 hours,2015-01-03T08:21:48Z,,,,,
20461,How to Design a Logo - a Beginners Course,https://www.udemy.com/how-to-design-a-logo-a-beginners-course/,TRUE,30,10875,650,41,All Levels,2.5 hours,2012-07-25T13:41:42Z,,,,,
416548,Logo Design Masterclass: Learn Logo Design + Illustrator,https://www.udemy.com/become-a-professional-logo-designer/,TRUE,200,8196,479,85,All Levels,6.5 hours,2015-08-18T18:56:04Z,,,,,
1047436,How to Draw and Sketch for Beginners,https://www.udemy.com/drawing-and-sketching-for-beginners/,TRUE,150,1360,175,79,Beginner Level,9 hours,2017-01-25T22:07:38Z,,,,,
396204,Graphic Design Masterclass: Learn Graphic Design in Projects,https://www.udemy.com/graphic-design/,TRUE,95,6858,382,41,Beginner Level,3.5 hours,2015-11-09T21:17:04Z,,,,,
897238,Canva Graphics Design for Entrepreneurs - Design 11 Projects,https://www.udemy.com/canva-graphic-design-course/,TRUE,200,18303,202,54,All Levels,3.5 hours,2016-07-23T00:41:07Z,,,,,
1067516,Vector Logo Design in Affinity Designer,https://www.udemy.com/logoaffinitydesigner/,TRUE,150,1789,102,57,All Levels,3 hours,2017-02-07T18:09:03Z,,,,,
1008100,How To Create A Low Poly Portrait With The Pen Tool,https://www.udemy.com/how-to-create-a-low-poly-portrait-with-the-pen-tool-adobe-illustrator/,TRUE,195,293,5,18,Beginner Level,1 hour,2016-11-15T14:40:56Z,,,,,
832870,Photo Editing in Photoshop - Beginner to Advanced in 1 Hour,https://www.udemy.com/photoshop-photo-editing/,TRUE,20,662,5,21,Beginner Level,1 hour,2016-05-09T01:17:58Z,,,,,
642656,How to Create Kindle & Ebook Covers with Canva,https://www.udemy.com/professional-kindle-ebooks-covers-canva-amazon-ibook-store-covers/,TRUE,30,1279,3,33,Beginner Level,1.5 hours,2015-10-21T00:07:15Z,,,,,
428220,How To Make Professional eBook Covers For FREE,https://www.udemy.com/kindle-millionare-learn-how-to-make-ebook-covers-like-a-pro/,TRUE,20,1080,6,35,All Levels,3 hours,2015-02-26T15:24:08Z,,,,,
